time,voltage
NaN,1
NaN,NaN
-2500,0.0990919315095895
-2497.5,0.0973534765701584
-2495,0.098098528687227
-2492.5,0.0988435808031086
-2490,0.0973534765701584
-2487.5,0.0976018272754522
-2485,0.0973534765701584
-2482.5,0.0971051258648645
-2480,0.096111723042502
-2477.5,0.0963600737477958
-2475,0.0956150216319143
-2472.5,0.0953666709254333
-2470,0.0958633723372081
-2467.5,0.0956150216319143
-2465,0.0968567751595706
-2462.5,0.0971051258648645
-2460,0.0973534765701584
-2457.5,0.0983468793925208
-2455,0.100085334330765
-2452.5,0.100830386447834
-2450,0.100830386447834
-2447.5,0.100830386447834
-2445,0.101327087858421
-2442.5,0.10058203574254
-2440,0.101078737153127
-2437.5,0.099836983625471
-2435,0.0985952300978147
-2432.5,0.0966084244530897
-2430,0.0913930596371704
-2427.5,0.0846875905883008
-2425,0.0750019130723438
-2422.5,0.0650678848510929
-2420,0.0553822073351358
-2417.5,0.0451998284074039
-2415,0.0375009565361719
-2412.5,0.029305383253165
-2410,0.021606511381933
-2407.5,0.0153977437436512
-2405,0.00918897610536939
-2402.5,0.00521536481591929
-2400,0.00223515635001888
-2397.5,0.00173845493943119
-2395,0.00149010423295021
-2392.5,0.000745052117068672
-2390,0.000496701411774793
-2387.5,0.000496701411774793
-2385,0.000496701411774793
-2382.5,0.000993402822362516
-2380,0.00149010423295021
-2377.5,0.00173845493943119
-2375,0.00223515635001888
-2372.5,0.00198680564472503
-2370,0.00273185776060657
-2367.5,0.00372526058296908
-2365,0.00471866340533163
-2362.5,0.00571206622769412
-2360,0.00695381975535048
-2357.5,0.0101823789265448
-2355,0.0124175352765636
-2352.5,0.0144043409212887
-2350,0.0163911465660137
-2347.5,0.0176329000936701
-2345,0.0183779522095516
-2342.5,0.0186263029148454
-2340,0.0176329000936701
-2337.5,0.0191230043266203
-2335,0.0186263029148454
-2332.5,0.0186263029148454
-2330,0.0191230043266203
-2327.5,0.0191230043266203
-2325,0.0191230043266203
-2322.5,0.0191230043266203
-2320,0.0193713550319141
-2317.5,0.0206131085595705
-2315,0.0230966156148832
-2312.5,0.0245867198478334
-2310,0.0265735254925585
-2307.5,0.0298020846649399
-2305,0.0320372410137716
-2302.5,0.054885505923361
-2300,0.0501668425180294
-2297.5,0.0591074679181049
-2295,0.0655645862616806
-2292.5,0.0717733538999624
-2290,0.0725184060170311
-2287.5,0.0750019130723438
-2285,0.0752502637776376
-2282.5,0.0774854201276565
-2280,0.074505211660569
-2277.5,0.0735118088393936
-2275,0.0725184060170311
-2272.5,0.0715250031946685
-2270,0.0712766524893747
-2267.5,0.0702832496670122
-2265,0.0677997426116995
-2262.5,0.0670546904946308
-2260,0.0668063397893369
-2257.5,0.0658129369669744
-2255,0.0663096383787493
-2252.5,0.0675513919064056
-2250,0.0663096383787493
-2247.5,0.0668063397893369
-2245,0.0670546904946308
-2242.5,0.0690414961393558
-2240,0.0737601595446874
-2237.5,0.0732634581329126
-2235,0.0754986144829315
-2232.5,0.0774854201276565
-2230,0.0757469651882254
-2227.5,0.0754986144829315
-2225,0.0767403680105878
-2222.5,0.0782304722435381
-2220,0.0772370694223627
-2217.5,0.0772370694223627
-2215,0.0792238750659006
-2212.5,0.0819557328265071
-2210,0.0807139792988508
-2207.5,0.084190889176526
-2205,0.0839425384712322
-2202.5,0.0834458370606445
-2200,0.0829491356488697
-2197.5,0.0834458370606445
-2195,0.0829491356488697
-2192.5,0.084190889176526
-2190,0.0831974863541635
-2187.5,0.082452434238282
-2185,0.0834458370606445
-2182.5,0.0836941877659383
-2180,0.0829491356488697
-2177.5,0.0827007849435758
-2175,0.0809623300053317
-2172.5,0.0829491356488697
-2170,0.0834458370606445
-2167.5,0.0814590314159195
-2165,0.0814590314159195
-2162.5,0.0814590314159195
-2160,0.0797205764776754
-2157.5,0.0792238750659006
-2155,0.0792238750659006
-2152.5,0.0792238750659006
-2150,0.0789755243606067
-2147.5,0.078478822950019
-2145,0.0799689271829693
-2142.5,0.0809623300053317
-2140,0.0804656285935569
-2137.5,0.0827007849435758
-2135,0.0834458370606445
-2132.5,0.0827007849435758
-2130,0.0829491356488697
-2127.5,0.0854326427041824
-2125,0.084190889176526
-2122.5,0.0854326427041824
-2120,0.0854326427041824
-2117.5,0.0864260455265449
-2115,0.0869227469383198
-2112.5,0.0859293441159572
-2110,0.0864260455265449
-2107.5,0.0846875905883008
-2105,0.0859293441159572
-2102.5,0.084190889176526
-2100,0.0836941877659383
-2097.5,0.0831974863541635
-2095,0.0831974863541635
-2092.5,0.0827007849435758
-2090,0.0831974863541635
-2087.5,0.082452434238282
-2085,0.0817073821212133
-2082.5,0.0829491356488697
-2080,0.0827007849435758
-2077.5,0.0829491356488697
-2075,0.084190889176526
-2072.5,0.0851842919988886
-2070,0.0856809934106634
-2067.5,0.0856809934094762
-2065,0.0859293441159572
-2062.5,0.0869227469383198
-2060,0.0871710976436136
-2057.5,0.0881645004659761
-2055,0.0876677990542013
-2052.5,0.0891579032871515
-2050,0.0881645004659761
-2047.5,0.0896546046989263
-2045,0.0879161497594951
-2042.5,0.0889095525818576
-2040,0.0886612018765638
-2037.5,0.0886612018765638
-2035,0.0886612018765638
-2032.5,0.0899029554042202
-2030,0.0903996568148079
-2027.5,0.0899029554042202
-2025,0.0903996568148079
-2022.5,0.0896546046989263
-2020,0.0908963582265827
-2017.5,0.0906480075212888
-2015,0.0908963582265827
-2012.5,0.0903996568148079
-2010,0.0903996568148079
-2007.5,0.0913930596371704
-2005,0.0921381117542391
-2002.5,0.0923864624595329
