time,voltage
NaN,1
NaN,NaN
-2500,0.0732229771206343
-2497.5,0.0685820842053709
-2495,0.0729651497366584
-2492.5,0.0688399115893468
-2490,0.0724494949687066
-2487.5,0.0678086020522108
-2485,0.0745121140417462
-2482.5,0.0685820842053709
-2480,0.0727073223526825
-2477.5,0.0685820842053709
-2475,0.0703868758944346
-2472.5,0.066261637747123
-2470,0.0701290485104587
-2467.5,0.0660038103631471
-2465,0.0683242568201626
-2462.5,0.0647146734420353
-2460,0.0680664294361867
-2457.5,0.0654881555939629
-2455,0.066261637747123
-2452.5,0.0634255365196909
-2450,0.0660038103631471
-2447.5,0.0616207448306273
-2445,0.063167709135715
-2442.5,0.0616207448306273
-2440,0.0618785722146032
-2437.5,0.0608472626774672
-2435,0.062136399598579
-2432.5,0.0598159531415636
-2430,0.0587846436044276
-2427.5,0.0587846436044276
-2425,0.0593002983723794
-2422.5,0.0564641971461797
-2420,0.0580111614512675
-2417.5,0.0531124411507958
-2415,0.0541437506879318
-2412.5,0.054659405457116
-2410,0.0523389589988681
-2407.5,0.051565476845708
-2405,0.049502857771436
-2402.5,0.0484715482355324
-2400,0.0474402386983964
-2397.5,0.0471824113144206
-2395,0.0456354470081003
-2392.5,0.0461511017772846
-2390,0.0422836910139489
-2387.5,0.0453776196241245
-2385,0.0425415183979248
-2382.5,0.042025863629973
-2380,0.0404788993236528
-2377.5,0.0412523814768129
-2375,0.0366114885603171
-2372.5,0.0371271433295014
-2370,0.0335175599501416
-2367.5,0.0353223516392053
-2365,0.0332597325661657
-2362.5,0.0342910421020693
-2360,0.0324862504130056
-2357.5,0.0335175599501416
-2355,0.0299079765707818
-2352.5,0.0311971134918937
-2350,0.028361012265694
-2347.5,0.0301658039547577
-2345,0.0250092562703101
-2342.5,0.0270718753445821
-2340,0.0216575002749263
-2337.5,0.02423577411715
-2335,0.0193370538179108
-2332.5,0.0229466371960381
-2330,0.0183057442807748
-2327.5,0.0216575002749263
-2325,0.0180479168967989
-2322.5,0.0195948812018867
-2320,0.0159852978225269
-2317.5,0.0188213990487265
-2315,0.0144383335174391
-2312.5,0.0165009525904787
-2310,0.0121178870591913
-2307.5,0.0131491965963272
-2305,0.00799264891187968
-2302.5,0.0291344944176217
-2300,0.00670351199076779
-2297.5,0.0118600596752153
-2295,0.00721916675871957
-2292.5,0.00953961321696746
-2290,0.00721916675871957
-2287.5,0.0108287501380793
-2285,0.00670351199076779
-2282.5,0.00928178583299157
-2280,0.00464089291649577
-2277.5,0.00747699414269546
-2275,0.00412523814854402
-2272.5,0.00747699414269546
-2270,0.00232044645824792
-2267.5,0.00670351199076779
-2265,0.00232044645824792
-2262.5,0.00515654768444758
-2260,0.00232044645824792
-2257.5,0.0056722024536318
-2255,0.00257827384222381
-2252.5,0.00464089291649577
-2250,0.00335175599538388
-2247.5,0.00412523814854402
-2245,0.00206261907427203
-2242.5,0.0028361012274321
-2240,0.0018047916902961
-2237.5,0.00335175599538388
-2235,0.00232044645824792
-2232.5,0.0036095833793598
-2230,0.0018047916902961
-2227.5,0.00412523814854402
-2225,0.00335175599538388
-2222.5,0.00386741076333569
-2220,0.00386741076333569
-2217.5,0.00515654768444758
-2215,0.00412523814854402
-2212.5,0.00464089291649577
-2210,0.00489872030047169
-2207.5,0.00489872030047169
-2205,0.00464089291649577
-2202.5,0.0056722024536318
-2200,0.00644568460555947
-2197.5,0.00593002983760769
-2195,0.00541437506965591
-2192.5,0.00825047629585557
-2190,0.00747699414269546
-2187.5,0.00799264891187968
-2185,0.00825047629585557
-2182.5,0.00953961321696746
-2180,0.00979744060094335
-2177.5,0.0100552679849192
-2175,0.0103130953688952
-2172.5,0.0113444049060311
-2170,0.0123757144431671
-2167.5,0.011602232290007
-2165,0.0128913692123513
-2162.5,0.0131491965963272
-2160,0.0152118156693668
-2157.5,0.0139226787482549
-2155,0.0162431252065028
-2152.5,0.014696160901415
-2150,0.0183057442807748
-2147.5,0.0175322621276147
-2145,0.0211418455069745
-2142.5,0.0185635716647507
-2140,0.0208840181229986
-2137.5,0.0188213990487265
-2135,0.0219153276601345
-2132.5,0.0206261907390227
-2130,0.0234622919652224
-2127.5,0.0208840181229986
-2125,0.0242357741183825
-2122.5,0.0229466371960381
-2120,0.027329702728558
-2117.5,0.0255249110382619
-2115,0.0296501491868059
-2112.5,0.0270718753445821
-2110,0.0317127682598455
-2107.5,0.0275875301125339
-2105,0.0324862504130056
-2102.5,0.0296501491868059
-2100,0.0340332147180934
-2097.5,0.0306814587239419
-2095,0.0345488694872775
-2092.5,0.0314549408758696
-2090,0.0366114885603171
-2087.5,0.0340332147180934
-2085,0.0386741076345891
-2082.5,0.0350645242552294
-2080,0.0407367267088611
-2077.5,0.036869315944293
-2075,0.0430571731658766
-2072.5,0.0386741076345891
-2070,0.0440884827030126
-2067.5,0.0397054171717251
-2065,0.0456354470081003
-2062.5,0.0407367267088611
-2060,0.0461511017772846
-2057.5,0.0440884827030126
-2055,0.0484715482355324
-2052.5,0.0461511017772846
-2050,0.0523389589988681
-2047.5,0.0466667565452364
-2045,0.0528546137668199
-2042.5,0.0482137208503242
-2040,0.0538859233039559
-2037.5,0.0466667565452364
-2035,0.0556907149930196
-2032.5,0.0513076494617321
-2030,0.0559485423782279
-2027.5,0.051565476845708
-2025,0.0580111614512675
-2022.5,0.0531124411507958
-2020,0.0608472626774672
-2017.5,0.0551750602250678
-2015,0.063167709135715
-2012.5,0.0577533340672916
-2010,0.062136399598579
-2007.5,0.0572376792993398
